address,alt_addr,used,type,class_,icon,latitude,longitude,found_country,country_code,country_name
"Middlesex County, VA",,1,,,,37.6221412,-76.5904374,True,US,United States
"Sulgrave, Northampton, Eng",,1,,,,52.2451778,-0.9182112,True,GB,United Kingdom
"Brington, Northamptonshire, England",,1,,,,52.2683065,-1.036296,True,GB,England
"Aston-Le-Walls, , , England",,1,,,,52.1546172,-1.2742734,True,GB,England
"Tighes, Surrey, Eng",,1,,,,51.2715316,-0.3414524,True,GB,United Kingdom
"Thrapston, Northants, Eng",,1,,,,52.3106138,-0.865913,True,GB,United Kingdom
"Packington, Leics, Eng",,1,,,,52.5100779,-0.9501074,True,GB,United Kingdom
"Brington, Northants, Eng",,1,,,,52.3106138,-0.865913,True,GB,United Kingdom
"Althrop, Northants, Eng",,1,,,,52.3106138,-0.865913,True,GB,United Kingdom
"Madrid, Spain",,1,,,,40.416782,-3.703507,True,ES,Spain
Great Brington,,1,,,,52.2791465,-1.0251429,True,GB,United Kingdom
"Wormleighton, Warwickshire",,1,,,,52.1790224,-1.3451912,True,GB,United Kingdom
"Wormleighton, Warws, Eng",,1,,,,52.5310214,-1.2649062,True,GB,United Kingdom
"Of, Little Creston, Northants, England",,1,,,,52.3106138,-0.865913,True,GB,England
"Of, Great Creaton, Northants, England",,1,,,,52.3106138,-0.865913,True,GB,England
Linkenholt Eng.,,1,,,,51.3198054,-1.4762773,True,GB,United Kingdom
London Eng.,,1,,,,51.5074456,-0.1277653,True,GB,United Kingdom
"Of, , Yorkshire, England",,1,,,,53.5948684,-1.3788695,True,GB,England
"Yorktown, Va, U.S.A.",,1,,,,37.2356655,-76.5136495,True,US,USA
"Elizabethcity, VA",,1,,,,41.903411,12.4528527,True,VA,Civitas Vaticana - Città del Vaticano
", , , Eng",,1,,,,52.5310214,-1.2649062,True,GB,United Kingdom
"Elizabeth City, VA",,1,,,,36.8639003,-76.3079924,True,US,United States
"Norfolk, Elizabethcity, VA",,1,,,,41.903411,12.4528527,True,VA,Civitas Vaticana - Città del Vaticano
"Wokingham, Berkshsire, England",,1,,,,52.5310214,-1.2649062,True,GB,England
"Of, , Wiltshire, Eng",,1,,,,51.0690613,-1.7954134,True,GB,United Kingdom
"Ruscombe, Comitatis, Berkshire, England",,1,,,,51.4534889,-1.031873,True,GB,England
"Ruscambe, , Eng",,1,,,,52.5310214,-1.2649062,True,GB,United Kingdom
"Of, Wiltshire, England",,1,,,,51.0648886,-1.7948028,True,GB,England
"Boveny Parish, Burnham, Buckingham, Eng",,1,,,,51.5362073,-0.6571411,True,GB,United Kingdom
"Parish Burnham, Buckingham, Eng",,1,,,,51.5692833,-0.6529766,True,GB,United Kingdom
"Of Burnham, Boven, Eng",,1,,,,52.5310214,-1.2649062,True,GB,United Kingdom
"Of Burnham, Buckingham, Eng",,1,,,,51.5356133,-0.6589748,True,GB,United Kingdom
